sl no,date,daily travel emission,daily energy emission,daily dietary emission,daily waste emission,daily water emission,daily appliances emission,daily activity emission
3684,11/2/2018,2.667,7.793,8.872,3.01,2.483,3.641,17
3685,11/2/2018,3.518,13.985,5.84,3.3,3.528,3.978,42.484
3686,28/2/2018,4.193,10.344,5.064,4.43,1.824,2.368,23.113
3687,28/2/2018,5,5,12,4.55,1.52,4.212,47
3688,12/2/2018,3.618,15.757,2,4.29,3.226,1,47
3689,17/6/2018,1.959,10.823,5.358,1.81,3.891,4.114,26.881
3690,10/11/2018,3.564,10.587,2.007,2.47,3.432,3.385,42.038
3691,2/2/2018,2.617,20,2,1,1.603,4.584,47
3692,11/2/2018,1.507,14.575,6.222,3.06,4.289,4.473,36.698
3693,3/2/2018,3.027,12.071,2,2.55,3.29,2.522,44.498
3694,11/2/2018,2.492,20,12,3.03,1.381,4.49,26.722
3695,19/6/2018,1,10.403,12,4.53,3.282,3.393,32.397
3696,11/2/2018,1,19.833,3.049,2.7,1.907,4.028,47
3697,20/6/2018,1.486,16.888,6.542,3.36,1,1.844,28.128
3698,9/2/2018,3.292,5,7.703,3.35,3.933,4.098,47
3699,11/2/2018,4.082,5,2,1,1,4.238,21.762
3700,20/6/2018,2.868,10.999,2,2.44,4.757,4.607,42.08
3701,3/3/2018,2.478,17.042,2.721,3.34,5,1,24.871
3702,11/11/2018,5,5,5.22,3.34,2.607,1.686,17
3703,23/10/2018,3.19,5,2,2.25,1.84,3.924,17
3704,12/2/2018,2.506,16.912,10.709,3.36,4.661,5,47
3705,4/2/2018,2.031,13.654,3.157,3.62,2.766,4.167,47
3706,28/2/2018,1,15.784,6.153,3.84,3.268,3.784,33.112
3707,20/6/2018,2.335,5,3.97,3.27,1.492,1.491,37.597
3708,26/2/2018,1,10.429,3.124,2.43,1.335,2.262,31.123
3709,12/2/2018,1.875,5,12,2.55,4.812,3.318,21.469
3710,26/2/2018,2.465,20,2,4.34,2.652,2.241,47
3711,11/2/2018,1.406,10.569,2,3.75,2.107,3.477,32.113
3712,27/2/2018,1,5,12,3.5,2.876,3.565,36.121
3713,10/11/2018,1,11.586,2,2.46,2.519,1.772,17
3714,3/3/2018,3.592,13.201,2.813,4.56,3.475,4.769,19.527
3715,23/2/2018,1.865,14.985,11.91,2.63,3.729,1,28.198
3716,27/2/2018,2.85,19.743,12,2.12,1.8,4.138,40.46
3717,20/2/2018,3.336,10.762,2.312,2.3,2.614,2.591,20.744
3718,25/10/2018,3.05,10.494,9.043,2.66,3.459,4.131,17
3719,4/2/2018,1.816,11.261,4.81,2.56,2.606,5,47
3720,27/2/2018,1.976,12.343,9.728,4.19,4.46,1,42.271
3721,10/11/2018,1.768,10.997,2.263,1,2.644,3.955,34.329
3722,15/6/2018,1.374,14.047,2,1,3.295,1,20.265
3723,19/2/2018,4.498,12.326,2,4.5,3.683,2.394,17
3724,27/2/2018,4.284,5,2,1.39,4.016,3.816,26.393
3725,12/2/2018,3.391,10.613,10.668,2.42,4.338,4.701,47
3726,5/1/2019,2.504,10.309,9.166,3.94,3.538,4.577,42.15
3727,28/2/2018,4.777,10.285,8.69,3.7,3.291,4.578,17
3728,28/2/2018,3.293,10.913,11.905,1,5,3.977,23.818
3729,26/10/2018,4.567,5.173,4.285,4.53,4.283,2.502,40.88
3730,28/2/2018,1.474,9.898,2,3.29,1,3.311,43.379
3731,28/2/2018,5,5,2,3.32,2.611,2.728,42.124
3732,23/9/2018,3.262,5,12,3.75,2.698,2.986,47
3733,25/10/2018,2.693,20,2,3.28,3.461,5,47
3734,27/2/2018,5,10.624,12,4.39,2.766,3.325,21.754
3735,25/10/2018,3.322,10.405,3.502,2.53,2.199,1,47
3736,20/6/2018,2.503,10.808,12,3.37,1.841,3.955,33.282
3737,28/2/2018,2.658,20,6.93,3.31,3.232,1.937,46.422
3738,11/2/2018,1,5,2,2.44,2.62,3.152,25.372
3739,19/6/2018,1,11.569,12,4.61,2.438,1.71,21.684
3740,24/2/2018,4.494,20,3.035,1.16,4.6,4.252,17.312
3741,28/2/2018,5,5,7.609,4.7,1.885,3.446,27.265
3742,25/10/2018,5,20,7.798,3.59,1.649,1.935,17
3743,4/2/2018,5,13.365,12,4.62,2.194,1,40.983
3744,28/2/2018,2.881,5,12,4.16,4.134,4.549,28.931
3745,15/2/2018,4.055,16.919,2,1.45,1.809,4.246,47
3746,28/2/2018,1,15.38,12,3.52,1,5,17
3747,2/11/2018,2.492,14.851,12,2.57,3.264,1.538,28.658
3748,20/6/2018,2.553,5,11.336,1.74,3.516,1.647,23.442
3749,1/2/2018,1,14.568,6.193,2.07,3.42,1.633,22.411
3750,19/6/2018,5,5,8.515,3.18,1.244,3.543,27.358
3751,4/2/2018,1.583,20,12,1.77,1,4.276,30.402
3752,28/6/2018,4.636,5.991,6.02,1.68,3.534,3.004,17
3753,20/2/2018,4.836,5,10.899,1,3.513,4.501,47
3754,11/2/2018,2.476,10.301,11.844,2.53,3.466,1,22.605
3755,11/2/2018,2.574,10.803,2,3.71,4.031,4.056,37.339
3756,20/2/2018,2.139,16.016,4.86,2.64,1.337,4.689,31.611
3757,3/3/2018,1,12.339,7.063,1,1.646,4.664,17
3758,12/2/2018,3.528,18.116,2,2.79,3.689,4.398,22.399
3759,10/11/2018,2.481,5.007,2,3.95,1,1.133,20.757
3760,12/2/2018,4.086,13.831,6.583,4.21,2.079,3.835,18.005
3761,18/2/2018,3.304,10.671,3.163,5,3.869,5,20.967
3762,12/2/2018,1,12.177,2,1.11,1.649,4.366,20.5
3763,19/2/2018,5,13.119,11.873,2.25,1.745,1,35.114
3764,3/2/2018,2.5,20,5.888,4.18,2.491,3.617,40.243
3765,1/2/2018,4.633,11.004,9.133,5,4.669,1,27.228
3766,12/2/2018,4.37,13.494,11.079,1.51,4.694,4.028,41.611
3767,27/2/2018,1,14.309,6.648,4.56,1.827,5,26.187
3768,20/2/2018,1,20,2,1,2.658,3.288,32.963
3769,3/3/2018,3.002,16.179,8.641,1.83,4.277,4.061,47
3770,27/2/2018,2.566,5,3.181,2.44,1.858,5,47
3771,12/2/2018,3.358,11.257,2,4.81,4.018,3.339,42.03
3772,27/2/2018,3.017,14.166,8.16,3.7,2.793,3.551,45.061
3773,12/6/2018,2.592,5,6.619,1.46,1.884,3.538,47
3774,12/2/2018,3.276,5,6.231,3.44,3.511,4.698,46.955
3775,10/2/2018,2.717,19.338,7.79,2.33,1,3.541,19.571
3776,3/2/2018,4.766,14.432,8.762,1.91,3.746,3.416,43.529
3777,2/2/2018,1,14.632,7.858,1.67,3.488,4.18,18.417
3778,25/10/2018,1.392,5,3.464,3.87,4.117,3.772,21.952
3779,26/10/2018,1.388,10.385,12,2.85,2.835,3.52,17
3780,28/2/2018,2.938,10.52,6.282,3.1,1.485,3.386,20.155
3781,4/2/2018,2.47,20,5.098,3.3,4.066,3.881,23.819
3782,27/2/2018,1,18.223,2,3.38,1,4.25,25.544
3783,10/11/2018,2.461,11.146,2,1.4,3.289,2.124,20.16
3784,10/2/2018,2.499,20,2,1.68,1.543,3.711,27.649
3785,11/2/2018,2.623,9.307,2,3.38,1.891,2.622,38.812
3786,27/2/2018,4.028,10.509,12,1.3,1.497,4.545,23.587
3787,12/2/2018,3.057,7.188,4.828,3.88,1.668,4.543,17.83
3788,28/2/2018,1,5.366,12,1.59,1,4.683,17
3789,16/2/2018,3.798,6.035,6.092,2.46,3.505,4.133,25.111
3790,4/2/2018,1.778,5.701,2.407,4.33,2.458,5,22.675
3791,3/3/2018,4.467,17.734,6.887,3.27,1,2.945,22.894
3792,26/2/2018,3.674,11.651,5.947,3.39,4.655,3.737,23.397
3793,2/2/2018,3.559,5,2,1,1,1.971,32.152
3794,3/2/2018,2.802,14.749,8.849,2.51,2.528,1,41.419
3795,16/2/2018,2.485,13.611,11.731,3.7,3.452,5,23.535
3796,8/1/2018,2.593,5,5.937,1.84,4.715,1.664,47
3797,11/2/2018,2.975,12.426,7.246,1.39,1,1.928,41.979
3798,9/2/2018,3.153,10.433,12,3.83,1.62,1.751,44.857
3799,4/2/2018,2.496,12.71,5.51,1.4,1,3.619,23.777
3800,11/11/2018,5,10.309,12,1.55,1.828,1.673,25.184
3801,24/2/2018,5,20,2.192,3.25,4.558,1.817,26.91
3802,11/2/2018,1.312,10.841,3.332,4.14,2.501,3.768,24.965
3803,25/10/2018,5,5,12,4.36,1.857,2.706,22.478
3804,15/2/2018,1,15.46,2,4.61,3.279,3.283,22.831
3805,27/6/2018,5,14.535,2,2.87,1,2.619,20.544
3806,20/2/2018,3.383,10.694,12,3.35,1,3.534,21.105
3807,25/10/2018,1.352,10.779,4.672,2.42,2.979,3.385,27.107
3808,4/2/2018,2.695,20,2.99,3.92,1,3.93,39.62
3809,4/2/2018,4.178,5,12,4.35,1,4.416,26.148
3810,28/2/2018,2.722,5,9.338,3.87,1,3.242,30.889
3811,28/2/2018,3.31,5,12,1.47,4.204,4.438,40.325
3812,12/2/2018,4.113,5,12,1,2.08,4.104,40.562
3813,11/2/2018,2.378,9.65,2,3.84,1.411,3.563,17
3814,11/2/2018,3.101,12.229,11.723,3.54,3.255,3.679,45.564
3815,12/2/2018,1.351,14.715,2.697,1.94,3.33,4.254,47
3816,19/2/2018,2.557,10.476,7.051,5,3.392,4.056,40.028
3817,2/3/2019,3.146,5,4.125,4.35,1,3.7,22.458
3818,20/6/2018,5,5,12,4.07,2.631,1.867,37.677
3819,4/2/2018,1.433,5,5.112,3.36,1,3.426,23.062
3820,26/2/2018,2.573,10.469,12,3.75,3.272,3.337,21.524
3821,12/2/2018,2.462,5,2,4.58,2.51,3.298,28.56
3822,20/6/2018,4.554,5,6.995,4.65,1.79,4.02,22.511
3823,12/2/2018,2.195,16.411,8.498,3.32,1.33,5,35.164
3824,23/10/2018,1,11.369,2,3.28,1.739,3.619,24.706
3825,11/2/2018,1,7.276,2,1,3.337,3.551,22.039
3826,27/2/2018,1.71,13.886,8.697,1.44,1,3.568,25.464
3827,19/6/2018,4.713,10.264,12,4.26,3.537,2.092,22.959
3828,11/2/2018,4.012,5,5.865,3.54,3.478,3.826,20.16
3829,11/2/2018,2.496,10.31,4.585,1.14,4.495,2.37,29.471
3830,11/2/2018,1,20,5.123,3.44,3.388,1,47
3831,25/10/2018,2.421,5,9.682,4.44,3.89,1,19.523
3832,12/2/2018,3.459,11.373,2,4.23,1.673,3.366,26.73
3833,9/6/2018,1,5,11.209,3.57,1,5,19.511
3834,28/2/2018,3.301,12.997,12,4,2.25,4.099,30.148
3835,11/2/2018,1,14.491,8.012,5,3.324,3.652,28.455
3836,4/2/2018,3.312,5,4.468,1,2.849,1.662,18.283
3837,20/2/2018,2.469,12.77,9.482,3.39,2.465,3.465,24.249
3838,12/2/2018,1,5,12,3.08,2.328,4.077,23.988
3839,28/2/2018,2.491,5.721,12,2.43,2.868,2.65,22.699
3840,3/2/2018,1.364,11.563,3.433,3.99,2.496,4.573,18.313
3841,28/2/2018,4.107,9.164,8.065,2.42,1,2.557,40.726
3842,2/11/2018,2.317,6.445,2.247,4.29,2.743,4.677,19.591
3843,12/2/2018,5,13.299,2,3.53,4.949,2.745,37.853
3844,3/2/2018,3.51,5,2,3.4,1,4.544,41.856
3845,25/6/2018,1.96,11.63,5.868,1.57,3.533,1,17
3846,12/2/2018,5,10.985,2,3.27,1,3.505,47
3847,26/2/2018,2.542,19.865,8.037,3.27,2.477,4.667,28.772
3848,16/2/2018,1,10.387,12,4.69,1,3.334,19.673
3849,3/2/2018,3.502,11.194,6.888,3.35,1,4.666,37.415
3850,19/2/2018,1,6.793,2,1.62,3.14,5,22.47
3851,3/3/2018,1.384,16.981,5.056,4.45,1.398,2.394,23.161
3852,28/2/2018,1.351,12.651,2,3.27,1.07,4.684,33.265
3853,1/3/2018,2.56,20,3.472,3.49,4.19,1.591,39.941
3854,11/2/2018,4.233,5,12,4.54,4.676,1.601,20.529
3855,28/2/2018,2.583,10.508,7.307,3.96,1,1,22.76
3856,11/2/2018,1.361,8.812,12,3.98,1,5,29.107
3857,19/2/2018,4.067,18.174,4.815,3.99,3.081,3.617,27.642
3858,3/2/2018,2.6,11.45,2,2.46,4.525,3.081,17
3859,17/2/2018,1,20,2,1,2.717,1.817,33.557
3860,12/2/2018,1.37,10.575,8.372,3.34,2.594,4.107,31.186
3861,3/2/2018,1.382,12.644,9.256,2.48,4.222,4.248,46.888
3862,10/2/2018,3.474,6.305,11.385,2.93,1.775,2.891,17
3863,24/6/2018,4.281,11.935,12,4.64,1.111,2.611,27.595
3864,11/2/2018,1,10.28,12,4.4,1.348,1,26.316
3865,15/2/2018,2.878,5,2,2.79,3.785,4.355,47
3866,11/2/2018,2.86,8.692,6.144,3.29,3.518,3.629,17
3867,28/2/2018,4.051,12.195,12,1,2.572,1.185,25.821
3868,4/2/2018,4.007,5,3.393,2.52,1.465,4.568,20.607
3869,11/2/2018,3.38,5,2,2.54,3.224,4.184,19.984
3870,11/2/2018,4.499,10.413,7.126,3.69,1.336,4.179,33.785
3871,17/6/2018,5,5,11.703,4.18,4.656,3.493,21.872
3872,9/2/2018,1.74,19.04,6.082,3.29,4.679,5,38.974
3873,26/10/2018,1.716,5,10.252,4.65,1.166,3.602,20.17
3874,4/3/2018,1,20,2,1.45,2.629,5,19.943
3875,12/2/2018,2.591,12.371,3.116,3.3,4.548,4.703,40.66
3876,12/2/2018,2.962,20,7.631,2.43,1,3.578,33.522
3877,27/2/2018,2.513,7.109,12,5,5,1.266,32.165
3878,28/2/2018,2.602,8.58,2,3.96,3.926,2.324,34.666
3879,4/2/2018,2.461,14.341,12,1.74,4.651,5,17
3880,28/2/2018,4.006,11.01,2,1.44,1.942,2.391,46.335
3881,11/11/2018,2.639,10.304,2,3.44,1.89,3.359,33.791
3882,11/2/2018,3.178,10.263,12,4.64,1,1.317,40.075
3883,14/11/2018,1.792,10.501,10.492,4.1,1.41,3.617,20.331
3884,25/10/2018,2.463,5,2.997,5,1,2.621,19.716
3885,28/2/2018,4.067,11.256,9.574,3.86,4.624,2.562,47
3886,25/10/2018,4.297,5.31,12,4.27,3.148,1.883,26.792
3887,11/2/2018,3.449,19.32,2,3.33,2.551,4.518,30.517
3888,2/1/2018,4.317,15.181,12,4.47,1,3.382,30.192
3889,12/2/2018,2.582,14.153,2,4.61,3.48,3.303,42.978
3890,27/2/2018,5,10.437,12,3.66,2.655,5,24.326
3891,12/2/2018,3.423,6.892,11.118,3.55,1.77,1.935,47
3892,11/1/2018,4.576,5,8.351,4.08,4.683,2.329,47
3893,28/2/2018,2.522,5.188,2,3.23,1,4.191,24.943
3894,11/2/2018,4.38,20,2,3.69,1.866,1.246,47
3895,12/6/2018,2.466,20,2,3.3,1.857,1.408,21.92
3896,4/2/2018,2.659,10.269,10.967,1.39,1.868,1.956,19.721
3897,11/2/2018,2.463,5,12,4.47,2.299,3.358,20.291
3898,19/3/2019,2.51,10.327,11.627,4.51,2.292,3.31,19.518
3899,28/2/2018,1.528,20,12,4.59,2.465,4.634,34.999
3900,11/2/2018,2.525,8.984,9.1,4.44,3.315,4.155,40.883
3901,13/2/2018,1,11.306,6.462,2.85,4.674,3.3,47
3902,3/2/2018,4.061,5,12,3.35,4.966,1.946,31.109
3903,8/11/2018,1,5.977,2,3.59,5,4.273,47
3904,20/2/2018,2.075,10.359,12,1.39,2.51,1.353,20.612
3905,11/2/2018,3.799,5,2,4.44,3.383,1.556,25.02
3906,26/2/2018,2.511,5.613,10.152,3.38,4.028,3.205,17
3907,5/7/2018,1.463,14.285,2,4.22,3.347,1.285,47
3908,21/2/2019,3.262,5.698,6.671,1,2.251,4.455,38.886
3909,1/2/2018,3.322,12.707,12,4.18,2.6,1.242,20.842
3910,27/2/2018,4.257,20,8.123,5,3.268,1.601,43.08
3911,19/6/2018,3.978,5,2,3.4,4.534,5,31.389
3912,10/2/2018,1,6.999,5.48,1,1.632,3.478,46.626
3913,10/2/2018,1.481,13.5,2,3.44,3.483,4.501,33.648
3914,20/6/2018,4.41,11.526,9.818,1.63,4.493,4.688,23.811
3915,2/11/2018,2.669,17.11,6.465,3.79,2.324,3.877,20.653
3916,23/9/2018,3.901,5,7.195,4.51,2.226,1,29.46
3917,12/2/2018,1.342,19.336,6.676,1,1,1.452,26.284
3918,12/2/2018,3.522,5,11.669,4.33,3.234,1.515,47
3919,27/2/2018,1.411,6.215,12,4.1,1.7,4.661,21.492
3920,3/2/2018,2.494,5,4.451,1.47,1.369,3.616,17
3921,10/11/2018,3.44,10.857,2,3.29,1.687,3.899,21.824
3922,20/2/2018,2.6,10.636,8.485,1,3.415,3.343,26.459
3923,19/2/2018,3.143,11.176,6.077,4.23,5,4.618,34.127
3924,11/2/2018,2.467,10.544,7.527,4.55,3.538,4.604,35.455
3925,25/10/2018,2.768,10.495,11.974,1.61,3.268,3.906,19.323
3926,12/2/2018,3.393,5,12,1,1.918,3.642,40.836
3927,19/2/2018,3.441,18.748,6.449,3.51,3.475,3.276,42.264
3928,11/2/2018,2.172,5,12,3.89,4.583,4.602,23.091
3929,2/2/2018,3.161,10.538,10.467,3.6,1.796,2.134,26.567
3930,11/2/2018,1,10.314,6.269,1.74,1.428,3.434,17
3931,12/2/2018,1,5.741,5.864,2.63,1,4.493,47
3932,19/2/2018,2.514,11.43,2,3.29,1.046,4.698,43.563
3933,27/2/2018,2.476,5,10.766,2.67,3.178,5,25.403
3934,12/2/2018,4.666,10.843,12,3.7,1.307,3.626,43.958
3935,27/2/2018,2.971,15.857,2,5,2.548,3.349,17
3936,11/2/2018,4.026,19.298,12,1,3.281,4.45,47
3937,15/2/2018,1,6.103,2,1.41,3.341,3.413,40.363
3938,12/2/2018,1,5.06,12,4.08,4.421,2.353,30.132
3939,14/2/2018,1.385,5.173,2,3.35,1.804,5,32.47
3940,15/2/2018,2.524,5,2,1,3.524,4.562,17.303
3941,11/2/2018,5,5,12,4.45,2.722,3.319,37.95
3942,11/2/2018,1.429,7.216,4.835,1.79,1.601,1,17
3943,11/2/2018,1.912,19.087,2,3.66,5,5,47
3944,11/2/2018,3.298,13.199,2,3.59,5,3.76,24.553
3945,3/2/2018,1.926,8.497,11.963,4.43,4.358,2.86,32.41
3946,11/2/2018,2.612,5,2.452,1.4,1,1.887,47
3947,20/2/2018,1.734,13.199,12,2.02,2.595,4.679,17
3948,27/2/2018,2.514,5,6.531,1.68,5,3.954,30.378
3949,12/2/2018,2.878,10.295,2,2.46,5,1.158,25.227
3950,24/2/2018,2.501,20,2.57,2.48,1.547,5,28.857
3951,2/2/2018,1,12.207,2,3.28,1.794,1,47
3952,10/11/2018,2.612,5,4.232,4.05,3.073,1.66,17
3953,27/2/2018,1,11.87,6.413,1,4.164,4.493,25.697
3954,9/2/2018,4.198,5,2,1,3.489,4.654,22.017
3955,18/1/2018,3.329,20,2.214,5,4.074,3.439,22.97
3956,3/2/2018,1.36,17.038,8.045,3.87,1.405,2.551,17
3957,12/2/2018,4.526,10.031,2,4.73,2.579,3.631,47
3958,11/2/2018,4.654,8.323,8.186,4.67,1.026,2.538,31.51
3959,4/2/2018,1.418,14.239,12,3.4,1,1.5,36.301
3960,11/2/2018,5,10.608,10.634,3.6,2.713,2.029,31.943
3961,20/6/2018,1.713,9.979,11.79,3.49,4.246,1.71,35.261
3962,19/6/2018,4.246,5.72,12,2.34,1,3.067,17
3963,12/2/2018,1,5.413,2,4.17,1,3.354,17
3964,11/2/2018,2.741,5,4.699,2.38,1.597,3.322,25.421
3965,18/2/2018,2.463,20,12,4.16,1,4.368,47
3966,18/10/2018,4.041,13.467,4.607,1.66,4.084,1,17
3967,9/6/2018,1,10.278,6.977,3.4,2.471,4.167,20.741
3968,25/10/2018,4.006,11.394,5.935,1,3.018,3.278,17
3969,12/6/2018,4.415,5.273,6.695,3.83,4.505,4.291,19.697
3970,3/2/2018,1.447,5,12,4.65,3.496,3.287,35.775
3971,11/2/2018,1,15.514,8.098,1,2.565,1.152,21.926
3972,28/2/2018,4.035,5,12,4.29,5,2.333,26.361
3973,11/2/2018,2.795,6.094,7.693,4.54,4.285,1.753,17
3974,11/2/2018,2.572,8.874,5.94,4.21,3.46,4.659,24.716
3975,25/10/2018,4.05,5,8.758,4.19,1.78,5,17
3976,9/2/2018,1,13.487,6.322,3.35,2.159,5,39.945
3977,15/2/2018,4.086,10.6,2,2.43,1.898,5,37.137
3978,28/2/2018,1,5.973,9.107,1.39,4.644,4.164,47
3979,11/1/2018,1.36,5,7.862,3.35,4.716,2.389,26.488
3980,2/2/2018,2.62,20,5.453,3.58,4.632,5,47
3981,10/1/2018,4.068,11.513,4.659,2.58,1.509,2.373,41.834
3982,13/2/2018,3.085,6.769,2,4.08,2.515,2.488,17
3983,25/10/2018,1.389,5,2,3.4,5,3.457,32.278
3984,25/10/2018,2.585,10.808,5.787,3.93,1,1,28.72
3985,19/2/2018,1.831,14.236,2,3.32,3.062,3.637,32.839
3986,3/2/2018,3.634,11.943,12,4.23,3.272,4.233,17
3987,12/2/2018,3.391,5,12,2.84,3.408,3.59,33.327
3988,2/1/2018,3.244,13.937,3.226,1.41,2.516,4.642,26.899
3989,10/2/2018,4.335,12.954,2,3.32,1.921,4.298,47
3990,14/11/2018,1.375,16.051,2.103,1.46,1,5,24.553
3991,26/10/2018,2.663,11.641,9.769,4.33,3.466,5,35.718
3992,11/2/2018,4.882,12.439,12,1.91,3.526,3.447,47
3993,11/2/2018,5,5,2,2.58,3.419,1,39.201
3994,25/10/2018,3.369,5,2,1,1.807,4.206,37.087
3995,6/7/2018,2.48,5.038,10.517,3.42,5,5,22.918
3996,16/2/2018,2.308,10.285,7.47,1.15,3.493,1.651,17
3997,20/6/2018,4.048,5,12,2.59,1.874,4.402,27.369
3998,10/2/2018,3.43,7.885,12,1,5,3.639,46.114
3999,25/10/2018,1,20,2,2.42,1,3.724,21.766
4000,11/2/2018,2.619,7.82,4.328,1.43,3.517,3.488,47
4001,17/2/2018,2.507,12.452,6.301,1,3.504,3.33,30.768
4002,16/2/2018,2.476,13.677,8.691,3.17,1.54,1,36.494
4003,28/2/2018,4.088,7.908,7.199,1.72,3.539,3.069,47
4004,11/11/2018,2.461,5,6.079,2.74,2.693,3.504,20.916
4005,11/11/2018,3.273,20,9.659,1.42,2.544,5,17
4006,3/2/2018,2.614,10.609,12,2.05,3.521,3.623,39.692
4007,17/10/2018,1,10.625,12,4.67,2.612,2.934,24.999
4008,2/2/2018,2.69,11.89,3.903,4.54,4.6,3.471,33.074
4009,3/2/2018,2.573,5,4.92,2.61,4.291,4.29,21.012
4010,28/2/2018,1.934,5.55,6.386,3.29,1.897,2.374,47
4011,10/2/2018,1.546,15.081,2,3.3,2.785,1.863,43.808
4012,12/2/2018,4.099,11.745,8.448,3.28,3.434,4.344,35.484
4013,3/11/2018,2.484,14.15,3.9,3.31,4.083,2.415,21.563
4014,12/2/2018,3.316,17.005,2,3.28,2.568,4.695,31.802
4015,11/2/2018,1.358,5,12,1.51,2.498,4.101,35.332
4016,1/2/2018,2.455,9.044,6.409,2.43,5,5,42.162
4017,12/2/2018,2.489,10.773,9.687,2.42,1,2.727,35.403
4018,19/2/2018,2.548,5,8.896,2.66,4.12,2.573,17
4019,3/2/2018,1.651,10.574,7.709,2.81,3.515,1,23.798
4020,20/2/2018,5,10.349,2,4.08,1,2.415,38.229
4021,27/2/2018,2.018,10.397,4.866,1.77,1,3.73,17
4022,12/2/2018,2.78,5.458,2,2.43,4.261,4.701,47
4023,25/10/2018,2.465,12.975,2,3.29,1.575,5,47
4024,11/2/2018,3.482,5,2,4.22,2.893,4.201,17
4025,11/2/2018,2.47,20,2,3.28,2.491,4.109,29.265
4026,11/2/2018,4.056,11.289,12,4.37,1,2.364,32.093
4027,12/2/2018,2.461,10.765,10.81,3.67,1.227,3.764,43.947
4028,20/6/2018,2.463,10.734,6.065,2.62,3.295,3.533,24.73
4029,27/2/2018,1,5,2,2.43,5,4.417,17
4030,12/2/2018,3.283,5,7.404,4.09,2.364,3.134,36.721
4031,12/2/2018,2.615,5,8.35,4.57,1,3.389,17
4032,18/10/2018,1,5,4.282,1,1.612,3.276,47
4033,10/2/2018,1.853,18.712,10.199,1,2.795,1.954,41.078
4034,3/2/2018,4.08,13.721,2.462,3.98,3.26,1,17
4035,2/2/2018,3.8,19.737,9.138,3.52,1,3.626,17.272
4036,11/2/2018,2.187,20,2,2.42,1,1.913,41.89
4037,3/2/2018,1,20,2,4.11,2.506,3.53,29.913
4038,20/6/2018,4.044,17.44,3.42,3.09,1.881,3.448,40.087
4039,2/1/2018,4.066,11.549,2,3.5,1.739,3.377,29.197
4040,11/2/2018,5,5,4.556,2.24,1,3.735,30.967
4041,15/2/2018,4.268,20,3.157,2.56,3.061,4.451,42.261
4042,25/2/2018,1,13.775,6.732,1,4.514,2.616,47
4043,12/2/2018,2.464,20,12,4.65,3.344,1,39.452
4044,11/2/2018,3.344,11.337,8.278,2.48,3.531,3.275,34.291
4045,1/2/2018,3.466,11.842,2,1.42,1.476,1.849,43.988
4046,2/1/2018,2.9,12.58,8.768,1.56,3.482,3.464,46.216
4047,26/10/2018,1,5,2,2.43,2.019,1.223,22.732
4048,4/2/2018,1.364,10.499,11.939,4,5,4.088,22.82
4049,1/2/2018,4.214,20,2,3.4,3.286,1.919,28.332
4050,3/2/2018,2.762,14.184,8.884,4.33,3.539,5,47
4051,11/2/2018,2.03,20,3.145,5,1,1.865,17
4052,11/6/2018,4.146,5,6.646,4.67,3.394,2.567,20.267
4053,11/2/2018,3.07,10.286,7.746,3.6,1.722,4.189,24.291
4054,6/7/2018,4.028,5.212,8.474,5,2.449,4.014,22.087
4055,28/2/2018,1.972,10.276,12,4.06,3.265,3.358,17
4056,3/2/2018,4.127,15.056,3.131,4.01,1.388,3.777,44.117
4057,18/2/2018,4.56,20,2,3.31,4.076,1.537,44.257
4058,28/2/2018,3.289,17.431,5.213,2.42,1.426,4.099,40.923
4059,12/2/2018,2.515,12.913,6.474,3.35,2.892,2.411,32.247
4060,25/10/2018,1,5,2,2.41,1.531,1.368,26.932
4061,11/2/2018,2.49,5,5.812,1.4,2.646,4.122,47
4062,4/2/2018,3.528,5,12,1.86,4.604,3.521,20.823
4063,3/2/2018,1.372,11.972,12,4.67,1.463,5,34.345
4064,2/2/2018,3.321,5,6.08,1.09,5,1,32.252
4065,11/2/2018,2.656,5,7.612,3.44,1,4.606,39.92
4066,11/2/2018,5,5,10.177,4.11,3.526,4.577,20.589
4067,27/2/2018,3.26,10.961,2,4.18,1.393,4.425,24.554
4068,20/2/2018,2.317,13.805,2,2.78,3.384,1.113,29.005
4069,15/2/2018,1.411,10.876,7.56,1.7,4.681,2.36,47
4070,12/2/2018,2.515,10.362,11.4,1,1,3.306,17
4071,11/2/2018,1,5.732,7.567,4.59,4.503,1,17
4072,4/2/2018,2.465,11.735,3.115,3.33,5,4.496,20.877
4073,11/2/2018,4.675,10.321,2,3.55,4.258,1.33,17
4074,27/2/2018,2.679,5,2,3.4,3.295,4.122,17.019
4075,9/2/2018,2.479,5,2.819,3.56,4.701,5,25.072
4076,9/2/2018,1.361,5,12,3.69,3.503,3.467,47
4077,11/2/2018,4.298,5,12,3.68,5,4.661,39.353
4078,11/2/2018,1.348,17.385,3.354,2.47,1,2.936,20.326
4079,25/10/2018,4.983,17.098,6.886,1,3.38,4.537,25.022
4080,26/2/2018,3.461,11.012,5.081,2.63,4.381,1.516,17
4081,10/2/2018,4.878,11.052,2,2.42,4.197,5,28.388
4082,28/2/2018,4.28,5,11.32,3.75,1,4.655,26.085
4083,11/2/2018,4.487,20,6.024,1,3.403,3.731,40.021
4084,3/2/2018,2.477,14.796,3.726,3.88,2.496,3.374,19.747
4085,11/2/2018,5,5,2.642,3.41,1.595,3.321,19.188
